TOPIC,TAXONOMY,CLASSIFICATION,GROUP,GROUP_ORDER,SUBGROUP,SUBGROUP_ORDER,ESTIMATE_TYPE,TIME_PERIOD,ESTIMATE
Angina/angina pectoris,Cardiovascular diseases,Total,Total,1,18 years and older,1,"Percent of population, crude",2019,1.7
Angina/angina pectoris,Cardiovascular diseases,Total,Total,1,18 years and older,1,"Percent of population, crude",2020,1.5
Angina/angina pectoris,Cardiovascular diseases,Total,Total,1,18 years and older,1,"Percent of population, crude",2021,1.5
Angina/angina pectoris,Cardiovascular diseases,Total,Total,1,18 years and older,1,"Percent of population, crude",2022,1.6
Angina/angina pectoris,Cardiovascular diseases,Total,Total,1,18 years and older,1,"Percent of population, crude",2023,1.6
Angina/angina pectoris,Cardiovascular diseases,Total,Total,1,18 years and older,1,"Percent of population, crude",2024,1.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2019,0.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2020,0.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2021,0.4
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2022,0.2
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2023,0.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,18-34 years,2,"Percent of population, crude",2024,0.3
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2019,0.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2020,0.5
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2021,0.6
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2022,0.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2023,0.8
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,35-49 years,3,"Percent of population, crude",2024,0.7
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2019,1.9
Angina/angina pectoris,Cardiovascular diseases,Demographic Characteristic,Age groups with 65 years and older,2,50-64 years,4,"Percent of population, crude",2020,1.7
